Institution ID,Institution name,Country,Continent / Region,City,Group,Institution type,Primary domain,Protocol relevance,WPA relevance / status,Notes
A001,Protocol Academy of Macedonia,North Macedonia,Europe,Skopje,A,Specialized protocol academy,"Protocol, etiquette, diplomatic protocol",A,A,Directly relevant; founder/director known professionally to WPA founder; evaluation should rely on public evidence and independent review where needed.
A002,International Etiquette & Protocol Academy of London,United Kingdom,Europe,London,A,Specialized etiquette and protocol academy,"International etiquette, protocol, diplomacy",A,A,Specialized protocol and etiquette certification provider.
A003,Protocol International,Netherlands / International,Europe,International,A,Protocol training provider,"International protocol, VVIP visits, diplomacy, negotiation",A,A,Training provider; score separately from universities and state academies.
A004,International Protocol Academy of Japan / ICPA,Japan,Asia,Tokyo,A,Specialized protocol academy,"Japanese protocol, international protocol, elite global etiquette",A,A,Direct protocol institution.
A005,Protocol School of Washington / INAAR Saudi Arabia Partnership,Saudi Arabia / USA,Middle East / North America,Riyadh / USA,A,Protocol training partnership,"Protocol, etiquette, personal diplomacy, professional image",A,A,Partnership model; confirm institutional evidence before scoring.
A006,Academy for Protocol and Diplomacy / Diplomatic and Protocol Academy of Kosovo,Kosovo,Europe,Prishtina,A,Protocol and diplomacy academy,"Diplomatic protocol, etiquette, diplomacy, international relations",A,A,Includes summer/winter university evidence; official website should be confirmed.
A007,British Academy for Training and Development - Diplomatic Protocol Training,United Kingdom / International,Europe,International,A,Professional training provider,"Diplomatic protocol, etiquette, intercultural communication",A,B,Training provider; score in professional provider category.
A008,Oxford Management Centre - Protocol & Diplomacy Training,United Kingdom / International,Europe,International,A,Professional training provider,"Protocol, diplomacy, executive training",A,B,To verify course pages before scoring.
A009,BMC Training - Business Etiquette and Protocol,International,International,International,A,Professional training provider,"Business etiquette, protocol, international affairs",B,C,Related provider; verify each course.
A010,Informa Academy - International Protocol & Diplomacy,International,International,International,A,Professional training provider,International protocol and diplomacy masterclasses,A,B,Training provider; certification evidence to verify.
A011,Accademia del Cerimoniale - Protocol Academy,Italy,Europe,Rome,A,Protocol academy,"National, European and diplomatic protocol, ceremony",A,A,Direct protocol institution.
A012,Protocol International - Protocol Training in Rome,Italy / International,Europe,Rome,A,Protocol training provider,"International protocol, precedence, VVIP visits",A,A,Course provider entry.
A013,Oxford Management Centre - Protocol & Diplomacy Milan,Italy / International,Europe,Milan,A,Professional training provider,Protocol and diplomacy training,A,B,To verify before scoring.
A014,BMC Training - International Affairs and Protocol Management Rome,Italy / International,Europe,Rome,A,Professional training provider,International affairs and protocol management,A,B,Course provider.
A015,Blackbird Training - International Protocol & Diplomacy Certification Rome,Italy / International,Europe,Rome,A,Professional training provider,International protocol and diplomacy certification,A,B,Course provider.
A016,EasyDiplomacy - Protocol and Ceremonial Courses Italy,Italy,Europe,Italy,A,Professional training provider,Protocol and ceremonial courses,A,B,Course provider.
A017,Académie des Métiers de la Diplomatie,France,Europe,France,A,Diplomacy and protocol training academy,"Protocol, diplomatic practice, diplomacy",A,A,Directly relevant French entry.
A018,Institut Diplomatique de Paris - Académie du Protocole,France,Europe,Paris,A,Protocol and diplomacy academy,"Diplomatic protocol, diplomacy, international relations",A,A,Direct protocol academy evidence.
A019,Etiquette & Protocole Academy,France / Francophone,Europe,Francophone,A,Etiquette and protocol training provider,"Etiquette, protocol, professional conduct",B,B,Diplomacy link should be verified.
A020,Butler Academy Paris - Rules of Protocol and Precedence,France,Europe,Paris,A,Service excellence and protocol training provider,"Protocol rules, precedence, visits and receptions",A,B,Hospitality/service framing; score separately.
A021,The British Protocol Academy,United Kingdom,Europe,United Kingdom,A,Protocol academy,International diplomacy and protocol,A,A,Specialized protocol/diplomacy provider.
A022,Europrotocol,International,Europe / International,International,A,Protocol training provider,"Protocol, diplomacy, ceremonial practice",A,B,International protocol training provider.
A023,Minding Manners / International Protocol & Diplomacy Certification,United Kingdom / International,Europe,International,A,Etiquette and protocol training provider,"Etiquette, international protocol, diplomacy",A,B,Training provider entry.
B001,NATO Defense College,Italy / NATO,Europe,Rome,B,Defence college / strategic studies institution,"Defence, security studies, NATO policy, strategic communication",B,A,Very strong security and defence diplomacy benchmark.
B002,Bulgarian Diplomatic Institute,Bulgaria,Europe,Sofia,B,Diplomatic institute / MFA-linked institute,"Diplomacy, diplomatic training, foreign policy",B,A,Government diplomatic training institute.
B003,"Diplomatic Academy, Ministry of Foreign and European Affairs of Croatia",Croatia,Europe,Zagreb,B,Government diplomatic academy,"Diplomacy, foreign affairs, international relations",B,A,MFA diplomatic academy.
B004,"Diplomatic Academy, Ministry of Foreign Affairs of Serbia",Serbia,Europe,Belgrade,B,Government diplomatic academy,"Diplomatic-consular training, foreign policy, protocol, international law",B,A,Strong measurable lecture/training evidence.
B005,"Diplomatic Academy, Ministry of Foreign Affairs of Montenegro",Montenegro,Europe,Podgorica,B,Government diplomatic academy,"Diplomacy, international relations, professional exams",B,A,MFA training structure.
B006,Diplomatic Academy of Vienna / Vienna School of International Studies,Austria,Europe,Vienna,B,Diplomatic academy / postgraduate institute,"Diplomacy, international relations, international law, European affairs",B,A,One of the strongest benchmark institutions.
B007,Brussels Diplomatic Academy,Belgium,Europe,Brussels,B,Diplomatic academy / postgraduate and executive training,"Economic diplomacy, international business, trade, investment",C,A,Diplomacy-business bridge.
