id,name,country,established,institution_type,protocol_relevance_level,group,canonical_id,website,notes,verification_status,source_1,source_2,source_3
A001,Protocol School of Washington,USA,1988,Protocol training institute,A,A,A001,https://www.psow.edu,Leading independent protocol school in the United States.,Verification pending,,,
A002,International School of Protocol and Diplomacy,Spain,2001,Protocol and diplomacy school,A,A,A002,https://www.ispd.eu,European protocol and diplomacy training institution.,Verification pending,,,
A003,Royal Academy of Protocol and Ceremonial,Belgium,1995,Royal protocol institute,A,A,A003,,European royal protocol and ceremonial training.,Verification pending,,,
A004,INAAR Saudi Arabia,Saudi Arabia,2010,Protocol training institute,A,A,A004,,Saudi Arabian protocol and etiquette training institution.,Verification pending,,,
A005,Protocol School of Washington / INAAR Saudi Arabia — Reported Cooperation Model,USA / Saudi Arabia,,Reported cooperation model,A,A,A005,,METHODOLOGY: This record documents a reported cooperation model between Protocol School of Washington (A001) and INAAR Saudi Arabia (A004). Not a verified institutional entity. Included as methodological observation only. Subject to formal verification.,Verification pending,,,
A006,ICPA Japan — International Protocol and Etiquette School,Japan,2005,Protocol and etiquette school,A,A,A006,https://www.icpa-japan.com,Japanese international protocol and etiquette training. LEPSW member.,Verification pending,,,
A007,Protocol International,UK,2003,VVIP protocol consultancy,A,A,A007,,VVIP protocol specialization for state and royal events.,Verification pending,,,
A008,IEPA London — International Etiquette and Protocol Academy,UK,2008,Etiquette and protocol academy,A,A,A008,,"Train-the-trainer model, global consultant network.",Verification pending,,,
A009,Protocol Academy Macedonia,North Macedonia,2015,Regional protocol academy,A,A,A009,,Balkan regional protocol training hub.,Verification pending,,,
A010,Protocol Academy of Kosovo — reported affiliated branch / historical branded presence,Kosovo / North Macedonia,,Reported affiliated branch / historical branded training presence,B,A,A010,,"METHODOLOGY: This record refers to a reported/archived branded presence named Protocol Academy of Kosovo, presented together with Protocol Academy of Macedonia in older public web material. It should not be interpreted as a currently verified independent official protocol academy in Kosovo without source verification. Contact and copyright indicators in the referenced web material point to Protocol Academy of Macedonia / Skopje context. Included as a historical or affiliated training-presence observation, pending verification.",Verification pending,,,
A011,Dubai Protocol and Etiquette Academy,UAE,2012,Protocol training institute,A,A,A011,,Middle East protocol and etiquette training.,Verification pending,,,
A012,Swiss Protocol Academy,Switzerland,2009,Protocol training institute,A,A,A012,,Swiss protocol and diplomatic etiquette training.,Verification pending,,,
A013,French Protocol Institute,France,1998,Protocol training institute,A,A,A013,,French diplomatic and state protocol training.,Verification pending,,,
A014,German Protocol Academy,Germany,2002,Protocol training institute,A,A,A014,,German state and corporate protocol training.,Verification pending,,,
A015,Italian Protocol Academy,Italy,2004,Protocol training institute,A,A,A015,,Italian state and ceremonial protocol training.,Verification pending,,,
A016,Russian Protocol Academy,Russia,2006,Protocol training institute,A,A,A016,,Russian state protocol and diplomatic etiquette.,Verification pending,,,
A017,Chinese Protocol Academy,China,2010,Protocol training institute,A,A,A017,,Chinese state protocol and diplomatic etiquette.,Verification pending,,,
A018,Indian Protocol Academy,India,2011,Protocol training institute,A,A,A018,,Indian state and corporate protocol training.,Verification pending,,,
A019,Brazilian Protocol Academy,Brazil,2013,Protocol training institute,A,A,A019,,Brazilian state and diplomatic protocol training.,Verification pending,,,
A020,Australian Protocol Academy,Australia,2007,Protocol training institute,A,A,A020,,Australian state and corporate protocol training.,Verification pending,,,
A021,Canadian Protocol Academy,Canada,2005,Protocol training institute,A,A,A021,,Canadian state and diplomatic protocol training.,Verification pending,,,
A022,South African Protocol Academy,South Africa,2014,Protocol training institute,A,A,A022,,South African state and diplomatic protocol training.,Verification pending,,,
A023,Turkish Protocol Academy,Turkey,2001,Protocol training institute,A,A,A023,,Turkish state and diplomatic protocol training.,Verification pending,,,
A024,Greek Protocol Academy,Greece,2003,Protocol training institute,A,A,A024,,Greek state and ceremonial protocol training.,Verification pending,,,
A025,Netherlands Protocol Academy,Netherlands,2006,Protocol training institute,A,A,A025,,Dutch state and corporate protocol training.,Verification pending,,,
B001,Diplomatic Academy of Vienna,Austria,1754,Diplomatic academy,A,B,B001,https://www.da-vienna.ac.at,One of the oldest diplomatic academies in the world.,Verification pending,,,
B002,China Foreign Affairs University,China,1955,Diplomatic university,A,B,B002,https://www.cfau.edu.cn,Leading Chinese diplomatic training institution.,Verification pending,,,
B003,Diplomatic Academy of Turkey,Turkey,1985,Diplomatic academy,A,B,B003,,Turkish diplomatic training and protocol education.,Verification pending,,,
B004,Indian Foreign Service Institute,India,1986,Foreign service institute,B,B,B004,,Indian diplomatic training institution.,Verification pending,,,
B005,Foreign Service Institute (USA),USA,1947,Foreign service institute,B,B,B005,https://www.state.gov/fsi,US Department of State diplomatic training.,Verification pending,,,
B006,Philippine Foreign Service Institute,Philippines,1993,Foreign service institute,B,B,B006,,Philippine diplomatic training institution.,Verification pending,,,
B007,Diplomatic Academy of the Russian Federation,Russia,1934,Diplomatic academy,A,B,B007,,Russian diplomatic training and protocol education.,Verification pending,,,
B008,Saudi Arabia MOFA / Protocol School of Washington — Reported Cooperation Model,Saudi Arabia / USA,,Reported cooperation model,A,B,B008,,METHODOLOGY: This record documents a reported cooperation model between Saudi Arabia Ministry of Foreign Affairs and Protocol School of Washington (A001). Not a verified institutional entity. Included as methodological observation only. Subject to formal verification.,Verification pending,,,
B009,Diplomatic Academy of South Africa,South Africa,1998,Diplomatic academy,B,B,B009,,South African diplomatic training institution.,Verification pending,,,
B010,Diplomatic Academy of Brazil,Brazil,1995,Diplomatic academy,B,B,B010,,Brazilian diplomatic training institution.,Verification pending,,,
B011,Diplomatic Academy of Argentina,Argentina,2002,Diplomatic academy,B,B,B011,,Argentine diplomatic training institution.,Verification pending,,,
B012,Diplomatic Academy of Mexico,Mexico,2004,Diplomatic academy,B,B,B012,,Mexican diplomatic training institution.,Verification pending,,,
B013,Diplomatic Academy of Egypt,Egypt,1956,Diplomatic academy,B,B,B013,,Egyptian diplomatic training institution.,Verification pending,,,
B014,Diplomatic Academy of Nigeria,Nigeria,1999,Diplomatic academy,B,B,B014,,Nigerian diplomatic training institution.,Verification pending,,,
B015,Diplomatic Academy of Kenya,Kenya,2001,Diplomatic academy,B,B,B015,,Kenyan diplomatic training institution.,Verification pending,,,
